word,count
NO,3934
PRINCÍPIO,92
CRIOU,34
DEUS,4418
CÉUS,219
TERRA,2936
ERA,994
FORMA,44
VAZIA,11
HAVIA,624
TREVAS,143
SOBRE,2761
FACE,175
ABISMO,38
ESPÍRITO,580
PAIRAVA,1
ÁGUAS,344
DISSE,2080
HAJA,110
LUZ,324
HOUVE,154
VIU,186
BOA,136
FEZ,821
SEPARAÇÃO,15
ENTRE,962
CHAMOU,158
DIA,1490
NOITE,313
TARDE,134
MANHÃ,178
PRIMEIRO,250
FIRMAMENTO,22
MEIO,686
SEPAROU,15
ESTAVAM,469
DEBAIXO,275
POR,4354
CIMA,179
ASSIM,2065
CÉU,522
SEGUNDO,833
AJUNTEM-SE,2
NUM,201
SÓ,367
LUGAR,810
ESTÃO,542
APAREÇA,5
ELEMENTO,2
SECO,15
AJUNTAMENTO,13
MARES,25
ISSO,780
BOM,211
PRODUZA,7
RELVA,14
ERVAS,11
DÊEM,15
SEMENTE,55
ÁRVORES,76
FRUTÍFERAS,5
SUAS,1627
ESPÉCIES,15
FRUTO,184
TENHA,123
SI,427
SUA,3426
PRODUZIU,6
DAVAM,27
TINHA,697
TERCEIRO,120
LUMINARES,5
FAZEREM,45
SEJAM,169
ELES,1836
SINAIS,78
ESTAÇÕES,4
DIAS,920
ANOS,521
SIRVAM,13
ALUMIAR,7
DOIS,521
GRANDES,187
LUMINAR,2
MAIOR,120
GOVERNAR,7
MENOR,48
ESTRELAS,50
PÔS,192
FAZER,388
QUARTO,81
PRODUZAM,3
CARDUMES,1
SERES,43
VIVENTES,51
VOEM,1
AVES,104
ACIMA,41
MONSTROS,3
MARINHOS,3
TODOS,2351
ARRASTAVAM,1
QUAIS,410
PRODUZIRAM,1
ABUNDANTEMENTE,20
TODA,1120
AVE,30
VOA,3
ESPÉCIE,38
ABENÇOOU,58
DIZENDO,1090
FRUTIFICAI,4
MULTIPLICAI-VOS,6
ENCHEI,7
MULTIPLIQUEM-SE,2
QUINTO,45
ANIMAIS,181
DOMÉSTICOS,9
RÉPTEIS,14
SELVAGENS,5
FAÇAMOS,13
HOMEM,1609
NOSSA,197
IMAGEM,63
CONFORME,431
SEMELHANÇA,39
DOMINE,5
ELE,3856
PEIXES,41
MAR,389
TODO,1485
RÉPTIL,12
ARRASTA,9
MULHER,720
LHES,833
SUJEITAI-A,1
DOMINAI,1
ARRASTAM,5
DISSE-LHES,163
MAIS,1242
EIS,1184
VOS,1619
TENHO,398
DADO,151
TODAS,996
PRODUZEM,4
ACHAM,20
BEM,649
HÁ,921
DÊ,50
SER-VOS-ÃO,1
MANTIMENTO,43
SER,438
VIVENTE,27
VERDES,13
TUDO,804
QUANTO,527
FIZERA,110
MUITO,366
SEXTO,32
FORAM,740
