word,count
NO,3869
PRINCÍPIO,99
CRIOU,34
DEUS,4446
CÉU,352
TERRA,2954
ERA,995
FORMA,34
VAZIA,13
HAVIA,540
TREVAS,135
SOBRE,2934
FACE,286
ABISMO,41
ESPÍRITO,615
MOVIA,2
ÁGUAS,369
DISSE,2723
HAJA,117
LUZ,337
HOUVE,173
VIU,172
BOA,150
FEZ,892
SEPARAÇÃO,32
ENTRE,1023
CHAMOU,167
DIA,1504
NOITE,325
TARDE,150
MANHÃ,186
PRIMEIRO,252
EXPANSÃO,9
MEIO,660
ESTAVAM,516
DEBAIXO,281
ASSIM,2018
CÉUS,402
SEGUNDO,826
AJUNTEM-SE,2
NUM,218
LUGAR,773
APAREÇA,7
PORÇÃO,78
SECA,46
AJUNTAMENTO,11
MARES,28
BOM,226
PRODUZA,5
ERVA,79
VERDE,27
DÊ,56
SEMENTE,83
ÁRVORE,91
FRUTÍFERA,4
FRUTO,187
SUA,3939
ESPÉCIE,50
CUJA,80
ESTÁ,1374
NELA,237
PRODUZIU,8
DANDO,41
CONFORME,481
TERCEIRO,117
LUMINARES,4
HAVER,51
SEJAM,146
ELES,1617
SINAIS,78
TEMPOS,65
DETERMINADOS,6
DIAS,973
ANOS,528
ILUMINAR,12
DOIS,482
GRANDES,182
LUMINAR,2
MAIOR,122
GOVERNAR,5
MENOR,61
ESTRELAS,50
PÔS,262
FAZER,368
QUARTO,79
PRODUZAM,3
ABUNDANTEMENTE,26
RÉPTEIS,14
ALMA,468
VIVENTE,30
VOEM,1
AVES,92
BALEIAS,3
TODO,1520
RÉPTIL,19
PRODUZIRAM,1
SUAS,1861
ESPÉCIES,5
TODA,1158
AVE,39
ASAS,80
ABENÇOOU,51
DIZENDO,1379
FRUTIFICAI,4
MULTIPLICAI-VOS,6
ENCHEI,7
MULTIPLIQUEM,9
QUINTO,45
GADO,136
FERAS,43
FAÇAMOS,16
HOMEM,1705
NOSSA,195
IMAGEM,67
SEMELHANÇA,32
DOMINE,7
PEIXES,36
MAR,397
MOVE,10
MULHER,738
LHES,769
SUJEITAI-A,1
DOMINAI,1
ANIMAL,85
EIS,1302
VOS,1553
TENHO,455
DADO,185
HÁ,891
SER-VOS-Á,4
MANTIMENTO,55
SERÁ,1381
TUDO,783
QUANTO,485
TINHA,840
FEITO,262
MUITO,403
SEXTO,32
SEU,3955
EXÉRCITO,237
FORAM,816
ACABADOS,2
HAVENDO,145
ACABADO,8
SÉTIMO,112
OBRA,372
FIZERA,87
DESCANSOU,7
SANTIFICOU,17
NELE,311
CRIARA,4
ESTAS,490
SÃO,1058
ORIGENS,2
QUANDO,1422
CRIADOS,31
SENHOR,8077
PLANTA,24
CAMPO,349
AINDA,801
NÃO,8213
ESTAVA,723
BROTAVA,3
CHOVER,11
LAVRAR,8
VAPOR,4
PORÉM,1456
SUBIA,19
REGAVA,1
FORMOU,29
PÓ,116
SOPROU,2
NARINAS,13
FÔLEGO,17
VIDA,496
PLANTOU,13
JARDIM,43
ÉDEN,19
LADO,368
ORIENTAL,51
ALI,682
FORMADO,10
BROTAR,10
AGRADÁVEL,27
VISTA,70
COMIDA,57
CONHECIMENTO,127
BEM,628
MAL,481
SAÍA,28
RIO,156
REGAR,2
DALI,134
DIVIDIA,2
TORNAVA,6
QUATRO,264
BRAÇOS,33
NOME,909
PISOM,1
ESTE,1071
RODEIA,5
HAVILÁ,7
ONDE,525
OURO,481
DESSA,5
BDÉLIO,2
PEDRA,172
SARDÔNICA,3
GIOM,6
CUXE,7
TIGRE,1
VAI,264
ASSÍRIA,138
EUFRATES,21
TOMOU,350
GUARDAR,51
ORDENOU,105
COMERÁS,48
LIVREMENTE,10
DELA,230
COMERES,4
CERTAMENTE,220
MORRERÁS,29
ESTEJA,49
SÓ,338
FAR-LHE-EI,2
AJUDADORA,2
IDÔNEA,2
ELE,3342
TROUXE,95
ADÃO,34
VER,142
CHAMARIA,1
ISSO,703
NOMES,103
ACHAVA,15
CAIR,59
SONO,42
PESADO,22
ADORMECEU,4
COSTELAS,2
CERROU,3
CARNE,425
COSTELA,5
TROUXE-A,3
ESTA,793
AGORA,773
OSSO,10
MEUS,774
OSSOS,107
MINHA,1635
CHAMADA,38
PORQUANTO,528
TOMADA,21
PORTANTO,348
DEIXARÁ,42
PAI,1097
MÃE,304
APEGAR-SE-Á,2
SERÃO,461
AMBOS,112
NUS,10
