word,count
NO,3694
PRINCÍPIO,54
DEUS,4028
CRIOU,33
CÉUS,335
TERRA,2246
ERA,772
FORMA,203
VAZIA,8
TREVAS,152
COBRIAM,12
FACE,105
ABISMO,29
ESPÍRITO,529
MOVIA,2
SOBRE,1557
ÁGUAS,238
DISSE,2123
"""HAJA",3
"LUZ""",7
HOUVE,108
LUZ,316
VIU,290
BOA,128
SEPAROU,17
CHAMOU,133
DIA,1289
NOITE,321
PASSARAM-SE,8
TARDE,141
MANHÃ,173
ESSE,287
PRIMEIRO,289
DEPOIS,999
ENTRE,906
FIRMAMENTO,11
SEPARE,9
"ÁGUAS""",6
FEZ,761
ESTAVAM,553
EMBAIXO,12
POR,4206
CIMA,118
ASSIM,1386
CÉU,368
SEGUNDO,265
"""AJUNTEM-SE",3
NUM,287
SÓ,323
LUGAR,668
ESTÃO,821
DEBAIXO,186
APAREÇA,2
PARTE,300
"SECA""",2
SECA,59
MARES,21
CONJUNTO,19
FICOU,285
BOM,205
"""CUBRA-SE",1
VEGETAÇÃO,14
PLANTAS,22
DÊEM,68
SEMENTES,18
ÁRVORES,82
CUJOS,42
FRUTOS,87
PRODUZAM,2
ACORDO,268
COM,6124
SUAS,1817
"ESPÉCIES""",1
BROTAR,11
DÃO,43
ESPÉCIES,13
PRODUZEM,4
TERCEIRO,110
LUMINARES,4
SEPARAR,9
SIRVAM,21
ELES,2494
SINAIS,72
MARCAR,2
ESTAÇÕES,4
DIAS,598
ANOS,500
ILUMINAR,5
"TERRA""",47
DOIS,521
GRANDES,128
MAIOR,127
GOVERNAR,27
MENOR,47
ESTRELAS,58
COLOCOU,112
QUARTO,106
"""ENCHAM-SE",1
SERES,66
VIVOS,62
VOEM,1
AVES,95
SOB,159
"CÉU""",7
ANIMAIS,244
AQUÁTICOS,1
DEMAIS,165
POVOAM,4
TODAS,909
ABENÇOOU,58
DIZENDO,304
"""SEJAM",8
FÉRTEIS,12
MULTIPLIQUEM-SE,7
ENCHAM,4
QUINTO,65
"""PRODUZA",1
REBANHOS,153
DOMÉSTICOS,9
SELVAGENS,65
CADA,736
SUA,3368
"ESPÉCIE""",1
"""FAÇAMOS",6
HOMEM,1464
NOSSA,201
IMAGEM,59
CONFORME,330
SEMELHANÇA,15
DOMINE,5
ELE,4781
PEIXES,41
MAR,348
TODA,880
TODOS,2399
PEQUENOS,30
MOVEM,18
RENTE,19
"CHÃO""",4
MULHER,675
LHES,1316
SUBJUGUEM,1
DOMINEM,3
PELA,728
"""EIS",16
DOU,60
NASCEM,3
ELAS,241
SERVIRÃO,23
ALIMENTO,73
VOCÊS,3896
VEGETAIS,5
TUDO,941
TEM,552
SI,307
FÔLEGO,18
VIDA,677
CRIATURAS,32
HAVIA,734
FEITO,278
FICADO,15
MUITO,423
SEXTO,34
FORAM,1199
CONCLUÍDOS,1
NELES,66
HÁ,499
SÉTIMO,115
JÁ,492
CONCLUÍDO,4
OBRA,112
REALIZARA,4
NESSE,50
DESCANSOU,42
SANTIFICOU,3
NELE,278
CRIAÇÃO,23
ESTA,599
HISTÓRIA,12
ORIGENS,3
TEMPO,421
CRIADOS,12
QUANDO,2389
SENHOR,7624
AINDA,605
NÃO,7338
TINHA,860
BROTADO,3
NENHUM,327
ARBUSTO,6
CAMPO,204
NENHUMA,153
PLANTA,23
GERMINADO,1
CHOVER,13
CULTIVAR,3
SOLO,21
TODAVIA,98
BROTAVA,2
ÁGUA,373
IRRIGAVA,2
SUPERFÍCIE,16
FORMOU,20
PÓ,105
SOPROU,3
NARINAS,10
TORNOU,111
SER,656
VIVENTE,6
ORA,101
PLANTADO,8
JARDIM,46
ÉDEN,19
LADOS,73
LESTE,151
ALI,507
FORMARA,1
NASCER,36
TODO,1271
TIPO,64
AGRADÁVEIS,13
OLHOS,410
BOAS,100
MEIO,692
ÁRVORE,96
CONHECIMENTO,146
BEM,525
MAL,322
NASCIA,1
RIO,102
DIVIDIA,1
QUATRO,229
NOME,845
PISOM,1
PERCORRE,5
HAVILÁ,7
ONDE,758
EXISTE,59
OURO,468
DAQUELA,51
EXCELENTE,6
LÁ,296
EXISTEM,9
BDÉLIO,1
PEDRA,172
ÔNIX,11
CUXE,7
GIOM,6
CORRE,11
PELO,1027
LADO,427
ASSÍRIA,113
TIGRE,2
EUFRATES,47
CUIDAR,34
DELE,707
CULTIVÁ-LO,1
ORDENOU,209
"""COMA",3
LIVREMENTE,3
QUALQUER,261
COMA,36
DELA,279
COMER,219
CERTAMENTE,85
VOCÊ,2724
"MORRERÁ""",8
DECLAROU,43
"""NÃO",461
ESTEJA,82
FAREI,248
ALGUÉM,400
AUXILIE,1
LHE,1667
"CORRESPONDA""",1
TROUXE,151
VER,183
ESTE,676
CHAMARIA,2
DESSE,80
VIVO,94
SERIA,73
SEU,4406
DEU,501
NOMES,73
ENCONTROU,78
AUXILIASSE,1
CORRESPONDESSE,1
CAIR,105
PROFUNDO,14
SONO,33
ENQUANTO,424
DORMIA,7
TIROU-LHE,1
COSTELAS,2
FECHANDO,2
CARNE,232
COSTELA,1
TIRADO,40
"""ESTA",39
SIM,118
OSSO,9
MEUS,704
OSSOS,87
MINHA,1349
ELA,1012
SERÁ,1311
CHAMADA,69
"TIRADA""",2
ESSA,266
RAZÃO,65
DEIXARÁ,52
PAI,1027
MÃE,277
UNIRÁ,5
TORNARÃO,43
VIVIAM,86
NUS,10
SENTIAM,1
VERGONHA,74
SERPENTE,38
MAIS,1408
ASTUTO,5
PERGUNTOU,355
"""FOI",23
ISTO,208
MESMO,719
‘NÃO,59
COMAM,53
FRUTO,111
JARDIM’,1
"""",2246
RESPONDEU,712
"""PODEMOS",2
ESTÁ,1451
NEM,1222
TOQUEM,21
CONTRÁRIO,118
"MORRERÃO’ """,1
"""CERTAMENTE",17
MORRERÃO,45
SABE,112
COMEREM,22
SEUS,4080
ABRIRÃO,2
SERÃO,622
CONHECEDORES,1
"MAL""",7
PARECIA,41
AGRADÁVEL,64
PALADAR,4
ATRAENTE,6
ALÉM,208
DISSO,347
DESEJÁVEL,3
OBTER,16
DISCERNIMENTO,39
TOMOU,95
COMEU-O,1
MARIDO,111
COMEU,37
ABRIRAM,16
PERCEBERAM,9
JUNTARAM,9
FOLHAS,23
FIGUEIRA,32
COBRIR-SE,6
OUVINDO,48
PASSOS,39
ANDAVA,10
SOPRAVA,4
BRISA,4
ESCONDERAM-SE,3
PRESENÇA,264
PERGUNTANDO,8
"""ONDE",42
"""OUVI",10
TEUS,362
FIQUEI,40
MEDO,241
ESTAVA,821
NU,15
ISSO,1372
ME,2099
"ESCONDI""",1
"""QUEM",137
QUAL,341
PROIBI,1
DESTE,167
COMPANHEIRA,2
EU,2948
"COMI""",2
"""QUE",122
"""A",121
ENGANOU,9
"""JÁ",19
MALDITA,5
VENTRE,57
RASTEJARÁ,1
COMERÁ,25
POREI,58
INIMIZADE,7
DESCENDÊNCIA,72
DESCENDENTE,52
FERIRÁ,13
CABEÇA,303
"CALCANHAR""",1
"""MULTIPLICAREI",2
GRANDEMENTE,3
SOFRIMENTO,63
GRAVIDEZ,2
DARÁ,125
FILHOS,1235
DESEJO,56
"DOMINARÁ""",1
"""VISTO",5
OUVIDOS,146
ORDENARA,9
COMESSE,4
CAUSA,609
ALIMENTARÁ,3
ESPINHOS,33
ERVAS,15
DANINHAS,9
TERÁ,262
ALIMENTAR-SE,2
SUOR,2
ROSTO,218
PÃO,197
ATÉ,1445
VOLTE,64
VISTO,160
"VOLTARÁ""",1
ADÃO,18
EVA,4
HUMANIDADE,32
ROUPAS,185
PELE,67
VESTIU,8
"""AGORA",72
NÓS,623
CONHECENDO,6
DEVE,137
PERMITIR,10
TOME,19
VIVA,57
"SEMPRE""",27
MANDOU,199
EMBORA,260
FORA,284
EXPULSAR,23
QUERUBINS,65
ESPADA,376
FLAMEJANTE,2
GUARDANDO,2
CAMINHO,400
TEVE,166
RELAÇÕES,23
ENGRAVIDOU,28
CAIM,21
"""COM",29
AUXÍLIO,26
TIVE,36
FILHO,2039
"HOMEM""",20
VOLTOU,168
DAR,144
DESTA,135
VEZ,365
ABEL,13
IRMÃO,332
TORNOU-SE,84
PASTOR,55
OVELHAS,200
AGRICULTOR,5
PASSADO,59
ALGUM,240
OFERTA,466
PARTES,29
GORDAS,6
PRIMEIRAS,15
CRIAS,17
REBANHO,110
ACEITOU,18
AGRADO,20
ENFURECEU,3
TRANSTORNOU,2
"""POR",233
FURIOSO,18
FIZER,86
ACEITO,13
SAIBA,46
PECADO,409
AMEAÇA,6
PORTA,289
DESEJA,22
CONQUISTÁ-LO,1
"DOMINÁ-LO""",1
PORÉM,362
"""VAMOS",38
"CAMPO""",6
ATACOU,48
MATOU,125
SEI,114
SOU,485
RESPONSÁVEL,35
MEU,2087
"""O",386
ESCUTE,16
SANGUE,386
CLAMANDO,16
AGORA,630
AMALDIÇOADO,8
ABRIU,55
BOCA,252
RECEBER,47
MÃO,504
FORÇA,175
FUGITIVO,5
ERRANTE,4
"MUNDO""",11
"""MEU",52
CASTIGO,76
POSSO,83
SUPORTAR,24
HOJE,318
EXPULSAS,2
TEREI,35
ESCONDER,13
TUA,550
SEREI,80
MUNDO,241
ENCONTRAR,57
"MATARÁ""",2
MATAR,86
SOFRERÁ,27
SETE,415
VEZES,143
"VINGANÇA""",1
SINAL,128
NINGUÉM,533
VIESSE,10
ENCONTRÁ-LO,17
MATASSE,3
AFASTOU-SE,10
VIVER,116
NODE,1
ENOQUE,18
FUNDOU,7
CIDADE,964
NASCEU-LHE,2
IRADE,2
GEROU,202
MEUJAEL,2
METUSAEL,2
LAMEQUE,11
DUAS,246
MULHERES,323
CHAMAVA-SE,26
ADA,7
OUTRA,230
ZILÁ,3
JABAL,1
DAQUELES,77
MORAM,14
TENDAS,71
CRIAM,8
JUBAL,1
TOCAM,1
HARPA,33
FLAUTA,12
TUBALCAIM,2
FABRICAVA,1
FERRAMENTAS,2
BRONZE,156
FERRO,91
IRMÃ,103
NAAMÁ,5
"""ADA",1
OUÇAM-ME,9
ESCUTEM,26
MINHAS,313
PALAVRAS,418
MATEI,8
FERIU,43
MENINO,125
MACHUCOU,1
VINGADO,4
SETENTA,78
"SETE""",1
NOVAMENTE,93
OUTRO,492
QUEM,1400
"""DEUS",34
CONCEDEU,28
"MATOU""",2
NASCEU,25
ENOS,7
NESSA,43
ÉPOCA,108
COMEÇOU-SE,1
INVOCAR,13
REGISTRO,14
130,2
DEU-LHE,45
VIVEU,59
800,4
OUTROS,555
FILHAS,196
930,2
MORREU,184
105,1
807,1
912,1
90,1
CAINÃ,7
815,1
905,1
70,4
MAALALEEL,6
840,1
910,1
65,2
JAREDE,6
830,1
895,1
162,1
962,1
MATUSALÉM,6
ANDOU,26
300,6
365,1
ENCONTRADO,36
ARREBATADO,6
187,1
782,1
969,1
182,1
NOÉ,55
"""ELE",86
ALIVIARÁ,3
NOSSO,556
TRABALHO,203
NOSSAS,125
MÃOS,695
CAUSADOS,2
"AMALDIÇOOU""",1
595,1
777,1
500,17
GERADO,8
CAM,15
JAFÉ,11
HOMENS,1218
COMEÇARAM,83
MULTIPLICAR-SE,1
NASCERAM,23
VIRAM,160
ERAM,394
BONITAS,2
ESCOLHERAM,19
AQUELAS,24
AGRADARAM,1
PERVERSIDADE,15
CONTENDERÁ,1
SEMPRE,539
VIVERÁ,53
CENTO,75
VINTE,248
"ANOS""",2
NAQUELES,35
NEFILINS,1
POSTERIORMENTE,7
POSSUÍRAM,1
DERAM,108
HERÓIS,2
FAMOSOS,5
AUMENTADO,4
INCLINAÇÃO,1
PENSAMENTOS,36
CORAÇÃO,606
SOMENTE,141
ARREPENDEU-SE,8
TER,201
CORTOU-LHE,1
"""FAREI",14
DESAPARECER,10
CRIEI,9
ARREPENDO-ME,1
HAVÊ-LOS,2
"FEITO""",7
MOSTROU,31
BENEVOLÊNCIA,5
FAMÍLIA,295
JUSTO,218
ÍNTEGRO,35
POVO,1766
TRÊS,446
CORROMPIDA,5
CHEIA,66
VIOLÊNCIA,59
CORROMPERA,1
CORROMPIDO,1
CONDUTA,55
"""DAREI",4
FIM,364
HUMANOS,19
ENCHEU-SE,13
DELES,942
DESTRUIREI,43
JUNTAMENTE,102
FARÁ,177
ARCA,229
MADEIRA,121
CIPRESTE,6
DIVIDA-A,1
COMPARTIMENTOS,2
REVISTA-A,3
PICHE,4
DENTRO,134
FAÇA-A,2
TRINTA,128
CINCO,287
METROS,193
COMPRIMENTO,95
LARGURA,92
TREZE,22
ALTURA,66
FAÇA-LHE,1
TETO,10
VÃO,139
QUARENTA,150
